aaa	Ghotuo
kbz	Duhwa
kca	Khanty
kcb	Kawacha
kcc	Lubila
kcd	Ngkâlmpw Kanum
kce	Kaivi
kcf	Ukaan
kcg	Tyap
kch	Vono
kci	Kamantan
kcj	Kobiana
kck	Kalanga
kcl	Kala
kcm	Gula
kcn	Nubi
kco	Kinalakna
kcp	Kanga
kcq	Kamo
kcr	Katla
kcs	Koenoem
kct	Kayan
kcu	Kami
kcv	Kete
kcw	Kabwari
kcx	Kachama-Ganjule
kcy	Korandje
kcz	Konongo
kda	Worimi
kdc	Kutu
kdd	Yankunytjatjara
kde	Makonde
kdf	Mamusi
kdg	Seba
kdh	Tem
kdi	Kumam
kdj	Ng’akarimojong
kdk	Numèè
kdl	Tsikimba
kdm	Gyong
kdn	Kunda
kdp	Nikyob-Nindem
kdq	Koch
kdr	Karaim
kdt	Kuay
kdu	Kadaru
kdw	Koneraw
kdx	Kam
kdy	Keijar
kdz	Kwaja
kea	Kabuverdianu
keb	Kélé
kec	Keiga
ked	Kerewe
kee	Eastern Keres
kef	Kpessi
keg	Tese
keh	Mevembet
kei	Kei
kej	Kadar
kek	Qꞌeqchiꞌ
kel	Kela
kem	Kemak
ken	Kenyang
keo	Kakwa
kep	Kaikadi
keq	Kamar
ker	Kera
kes	Kugbo
ket	Ket
keu	Akebu
kev	Kanikkaran
kew	West Kewapi
kex	Kukna
key	Kupia
kez	Kukele
kfa	Kodava
kfb	Northwestern Kolami
kfc	Konda-Dora
kfd	Korra Koraga
kfe	Kota
kff	Koya
kfg	Kudiya
kfh	Kurichiya
kfi	Kannada Kurumba
kfj	Kemiehua
kfk	Kinnauri
kfl	Kung
kfm	Khunsari
kfn	Kuk
kfo	Koro
kfp	Korwa
kfq	Korku
kfr	Kacchi
kfs	Bilaspuri
kft	Kanjari
kfu	Katkari
kfv	Kurmukar
kfw	Kharam Naga
kfx	Kullu Pahari
kfy	Kumaoni
kfz	Koromfé
kga	Koyaga
kgb	Kawe
kge	Komering
kgf	Kube
kgg	Kusunda
kgi	Selangor Sign Language
kgj	Gamal Kham
kgk	Kaiwá
kgl	Kunggari
kgn	Karingani
kgo	Krongo
kgp	Kaingang
kgq	Kamoro
kgr	Abun
kgs	Kumbainggar
kgt	Somyev
kgu	Kovol
kgv	Karas
kgw	Karon Dori
kgx	Kamaru
kgy	Kyirong
kha	Khasi
khb	Lü
khc	Tukang Besi North
khd	Bädi Kanum
khe	Korowai
khf	Khuen
khg	Khams Tibetan
khh	Kehu
khj	Kuturmi
khk	Halh Mongolian
khl	Lusi
khm	Khmer
khn	Khandesi
khp	Kapauri
khq	Koyra Chiini Songhay
khr	Kharia
khs	Kasua
kht	Khamti
khu	Nkumbi
khv	Khvarshi
khw	Khowar
khx	Kanu
khy	Kele
khz	Keapara
kia	Kim
kib	Koalib
kic	Kickapoo
kid	Koshin
kie	Kibet
kif	Eastern Parbate Kham
kig	Kimaghima
kih	Kilmeri
kii	Kitsai
kij	Kilivila
kik	Gikuyu
kil	Kariya
kim	Karagas
kin	Fumbira
kio	Kiowa
kip	Sheshi Kham
kiq	Kosare
kir	Kyrgyz
kis	Kis
kit	Agob
kiu	Northern Zazaki
kiv	Kimbu
kiw	Northeast Kiwai
kix	Khiamniungan Naga
kiy	Kirikiri
kiz	Kisi
kja	Mlap
kjb	Q’anjob’al
kjc	Coastal Konjo
kjd	Southern Kiwai
kje	Kisar
kjg	Khmu
kjh	Khakas
kji	Zabana
kjj	Khinalugh
kjk	Highland Konjo
kjl	Western Parbate Kham
kjm	Kháng
kjn	Kunjen
kjo	Pahari Kinnauri
kjp	Pwo West-Central Thailand Karen
kjq	Western Keres
kjr	Kurudu
kjs	East Kewapi
kjt	Phrae Pwo Karen
kju	Kashaya
kjx	Ramopa
kjy	Pole
kjz	Bumthangkha
kka	Kakanda
kkb	Kwerisa
kkc	Odoodee
kkd	Kinuku
kke	Kakabe
kkf	Kalaktang Monpa
kkg	Mabaka Valley Kalinga
kkh	Khün
kki	Kagulu
kkj	Kako
kkk	Kokota
kkl	Kosarek Yale
kkm	Kiong
kkn	Kon Keu
kko	Karko
kkp	Koko-Bera
kkq	Kaiku
kkr	Kir-Balar
kks	Giiwo
kkt	Koyee
kku	Tumi
kkv	Kangean
kkw	Teke-Kukuya
kkx	Kohin
kky	Guugu Yimidhirr
kkz	Kaska
kla	Klamath-Modoc
klb	Kiliwa
klc	Kolbila
kld	Gamilaraay
kle	Kulung
klf	Kendeje
klg	Tagakolu
klh	Weliki
kli	Kalumpang
klj	Khalaj
klk	Kono
kll	Kagan Kalagan
klm	Migum
klo	Kapya
klp	Kamasa
klq	Rumu
klr	Khaling
kls	Kalasha
klt	Nukna
klu	Klao
klv	Maskelynes
klw	Tado
klx	Koluwawa
kly	Kalao
klz	Kabola
kma	Konni
kmb	Kimbundu
kmc	Southern Dong
kmd	Majukayang Kalinga
kme	Bakole
kmf	Kare
kmg	Kâte
kmh	Kalam
kmi	Kami
kmj	Kumarbhag Paharia
kmk	Limos Kalinga
kml	Tanudan Kalinga
kmm	Kom
kmn	Awtuw
kmo	Kwoma
kmp	Gimme
kmq	Gwama
kmr	Northern Kurdish
kms	Kamasau
kmt	Kemtuik
kmu	Kanite
kmv	Karipuna French Creole
kmw	Komo
kmx	Waboda
kmy	Koma
kmz	Khorasani Turkish
kna	Dera
knb	Lubuagan Kalinga
knc	Yerwa Kanuri
knd	Konda
kne	Kankanaey
knf	Mankanya
kng	Koongo
kni	Kanufi
knj	Western Kanjobal
knk	Kuranko
knl	Keninjal
knm	Kanamarí
knn	Konkani
kno	Kono
knp	Kwanja
knq	Kintaq
knr	Kaningra
kns	Kensiu
knt	Panoan Katukína
knu	Kono
knv	Tabo
knw	Kung-Ekoka
knx	Salako
kny	Kanyok
knz	Sàmòmá
koa	Konomala
koc	Kpati
kod	Kodi
koe	Kacipo-Bale Suri
kof	Kubi
kog	Kogi
koh	Koyo
koi	Komi-Permyak
kol	Kol
koo	Konzo
kop	Waube
koq	Kota
kor	Korean
kos	Kosraean
kot	Lagwan
kou	Koke
kov	Kudu-Camo
kow	Kugama
koy	Koyukon
koz	Amako
kpa	Kutto
kpb	Mullu Kurumba
kpc	Curripaco
kpd	Koba
kpf	Komba
kpg	Kapingamarangi
kph	Kplang
kpi	Kofei
kpj	Karajá
kpk	Kpan
kpl	Kpala
kpm	Koho
kpn	Kepkiriwát
kpo	Ikposo
kpq	Korupun-Sela
kpr	Korafe-Yegha
kps	Tehit
kpt	Karata
kpu	Kafoa
kpv	Komi-Zyrian
kpw	Kobon
kpx	Mountain Koiali
kpy	Koryak
kpz	Kupsapiiny
kqa	Mum
kqb	Kovai
kqc	Doromu-Koki
kqd	Koy Sanjaq Surat
kqe	Kalagan
kqf	Kakabai
kqg	Khe
kqh	Kisankasa
kqi	Koita
kqj	Koromira
kqk	Kotafon Gbe
kql	Kyenele
kqm	Khisa
kqn	Kaonde
kqo	Eastern Krahn
kqp	Kimré
kqq	Krenak
kqr	Kimaragang
kqs	Northern Kissi
kqt	Klias River Kadazan
kqu	Seroa
kqv	Kolod Murut
kqw	Kandas
kqx	Mser
kqy	Koorete
kqz	Korana
kra	Kumal
krb	Karkin
krc	Karachay-Balkar
krd	Kairui-Midiki
kre	Panará
krf	Koro
krh	Kurama
kri	Krio
krj	Kinaray-a
krk	Kerek
krl	Karelian
krn	Sapo
krp	Durop
krr	Krung
krs	Gbaya
krt	Tumari Kanuri
kru	Kurux
krv	Kavet
krw	Western Krahn
krx	Karon
kry	Kryts
krz	Sota Kanum
ksb	Shambala
ksc	Southern Kalinga
ksd	Kuanua
kse	Kuni
ksf	Bafia
ksg	Kusaghe
ksh	Ripuarian
ksi	I’saka
ksj	Uare
ksk	Kansa
ksl	Kumalu
ksm	Kumba
ksn	Kasiguranin
kso	Kofa
ksp	Kaba
ksq	Kwaami
ksr	Borong
kss	Southern Kisi
kst	Winyé
ksu	Khamyang
ksv	Kusu
ksw	S’gaw Karen
ksx	Kedang
ksy	Kharia Thar
ksz	Kodaku
kta	Katua
ktb	Kambaata
ktc	Kholok
ktd	Kokata
kte	Nubri
ktf	Kwami
ktg	Kalkutung
kth	Karanga
kti	North Muyu
ktj	Plapo Krumen
ktk	Kaniet
ktl	Koroshi
ktm	Kurti
ktn	Karitiâna
kto	Kuot
ktp	Kaduo
kts	South Muyu
ktt	Ketum
ktu	Kituba
ktv	Eastern Katu
ktw	Kato
ktx	Kaxararí
kty	Kango
ktz	Juǀ’hoansi
kua	Kwanyama
kub	Kutep
kuc	Kwinsu
kud	’Auhelawa
kue	Kuman
kuf	Western Katu
kug	Kupa
kuh	Kushi
kui	Kuikúro-Kalapálo
kuj	Kuria
kuk	Kepo’
kul	Kulere
kum	Kumyk
kun	Kunama
kuo	Kumukio
kup	Kunimaipa
kuq	Karipuna
kus	Kusaal
kut	Kutenai
kuu	Upper Kuskokwim
kuv	Kur
kuw	Kpagua
kux	Kukatja
kuy	Kuuku-Ya’u
kuz	Kunza
kva	Bagvalal
kvb	Kubu
kvc	Kove
kvd	Kui
kve	Kalabakan Murut
kvf	Kabalai
kvg	Kuni-Boazi
kvh	Komodo
kvi	Kwang
kvj	Psikye
kvk	Korean Sign Language
kvl	Kayaw
kvm	Kendem
kvn	Border Kuna
kvo	Dobel
kvp	Kompane
kvq	Geba Karen
kvr	Kerinci
kvt	Lahta
kvu	Yinbaw
kvv	Kola
kvw	Wersing
kvx	Parkari Koli
kvy	Yintale
kvz	Tsaukambo
kwa	Dâw
kwb	Kwa
kwc	Likwala
kwd	Kwaio
kwe	Kwerba
kwf	Kwara’ae
kwg	Sara Kaba Démé
kwh	Kowiai
kwi	Awa-Cuaiquer
kwj	Kwanga
kwk	Kwakwala
kwl	Kofyar
kwm	Kwambi
kwn	Kwangali
kwo	Kwomtari
kwp	Kodia
kwr	Kwer
kws	Kwese
kwt	Kwesten
kwu	Kwakum
kwv	Sara Kaba Naa
kww	Kwinti
kwx	Khirwar
kwy	Kikongo
kwz	Kwadi
kxa	Kairiru
kxb	Krobu
kxc	Konso
kxd	Brunei
kxf	Kawyaw
kxh	Karo
kxi	Keningau Murut
kxj	Kulfa
kxk	Zayein
kxm	Northern Khmer
kxn	Kanowit-Tanjong Melanau
kxo	Kanoé
kxp	Wadiyari Koli
kxq	Smärky Kanum
kxr	Koro
kxs	Kangjia
kxt	Koiwat
kxv	Kuvi
kxw	Konai
kxx	Likuba
kxy	Kayong
kxz	Kerewo
kya	Kwaya
kyb	Butbut Kalinga
kyc	Kyaka
kyd	Karey
kye	Krache
kyf	Kouya
kyg	Keyagana
kyh	Karok
kyi	Kiput
kyj	Karao
kyk	Kamayo
kyl	Kalapuya
kym	Kpatili
kyn	Northern Binukidnon
kyo	Klon
kyp	Kang
kyq	Kenga
kyr	Kuruáya
kys	Baram Kayan
kyt	Kayagar
kyu	Western Kayah
kyv	Kewat
kyw	Kudmali
kyx	Rapoisi
kyy	Asa’a
kyz	Kayabí
kza	Western Karaboro
kzb	Kaibobo
kzc	Bondoukou Kulango
kzd	Kadai
kze	Kosena
kzf	Da’a Kaili
kzg	Kikai
kzi	Kelabit
kzk	Kazukuru
kzl	Kayeli
kzm	Kais
kzn	Kokola
kzo	Kaningi
kzp	Kaidipang
kzq	Kaike
kzr	Karang
kzs	Sugut Dusun
kzu	Kayupulau
kzv	Komyandaret
kzw	Karirí-Xocó
kzx	Kamarian
kzy	Kango
kzz	Kalabra
laa	Southern Subanen
lac	Lacandon
lad	Ladino
lae	Pattani
laf	Lafofa
lag	Rangi
lai	Lambya
laj	Lango
lal	Lalia
lam	Lamba
lan	Laru
lao	Lao
lap	Laka
laq	Qabiao
lar	Larteh
las	Lama
lat	Latin
lau	Laba
law	Lauje
lax	Tiwa
lay	Lama Bai
laz	Aribwatsa
lbb	Label
lbc	Lakkia
lbe	Lak
lbf	Tinani
lbg	Laopang
lbi	La’bi
lbj	Ladakhi
lbk	Central Bontok
lbl	Libon Bikol
lbm	Lodhi
lbn	Rmeet
lbo	Laven
lbq	Wampar
lbr	Lohorung
lbs	Libyan Sign Language
lbt	Lachi
lbu	Labu
lbv	Lavatbura-Lamusong
lbw	Tolaki
lbx	Lawangan
lby	Lamalama
lbz	Lardil
lcc	Legenyem
lcd	Lola
lce	Sekak
lcf	Lubu
lch	Luchazi
lcl	Lisela
lcm	Tungag
lcp	Western Lawa
lcq	Luhu
lcs	Lisabata-Nuniali
lda	Kla-Dan
ldb	Duya
ldd	Luri
ldg	Lenyima
ldh	Lamja-Dengsa-Tola
ldi	Laari
ldj	Lemoro
ldk	Leelau
ldl	Kaan
ldm	Landoma
ldo	Loo
ldp	Tso
ldq	Lufu
lea	Lega-Shabunda
leb	Lala-Bisa
lec	Leco
led	Lendu
lee	Lyélé
lef	Lelemi
leh	Lenje
lei	Lemio
lej	Lengola
lek	Leipon
lel	Lele
lem	Nomaande
len	Lenca
leo	Leti
lep	Lapcha
leq	Lembena
ler	Lenkau
les	Lese
let	Amio-Gelimi
leu	Kara
lev	Western Pantar
lew	Ledo Kaili
lex	Luang
ley	Limola
lez	Lezgi
lfa	Lefa
lga	Lungga
lgb	Laghu
lgg	Lugbara
lgh	Laghuu
lgi	Lengilu
lgk	Neverver
lgl	Wala
lgm	Lega-Mwenga
lgn	Opo
lgo	Lango
lgq	Logba
lgr	Lengo
lgs	Guinea-Bissau Sign Language
lgt	Pahi
lgu	Longgu
lgz	Ligenza
lha	Laha
lhh	Laha
lhi	Lahu Shi
lhl	Lahul Lohar
lhm	Lhomi
lhn	Lahanan
lhp	Lhokpu
lhs	Mlahsö
lht	Lo-Toga
lhu	Lahu
lia	West-Central Limba
lib	Likum
lic	Hlai
lid	Nyindrou
lie	Likila
lif	Limbu
lig	Ligbi
lih	Lihir
lij	Monégasque
lik	Lika
lil	Lillooet
lim	Limburgish
lin	Lingala
lio	Liki
lip	Sekpele
liq	Libido
lir	Liberian English
lis	Lisu
lit	Lithuanian
liu	Logorik
liv	Liv
liw	Col
lix	Liabuku
liy	Banda-Bambari
liz	Libinza
lja	Golpa
lje	Rampi
lji	Laiyolo
ljl	Li’o
ljp	Lampung Api
ljw	Yirandali
ljx	Yuru
lka	Lakalei
lkb	Lukabaras
lkc	Kucong
lkd	Lakondê
lke	Kenye
lkh	Lakha
lki	Laki
lkj	Remun
lkl	Laeko-Libuat
lkm	Kalaamaya
lkn	Lakon
lko	Olukhayo
lkr	Päri
lks	Olushisa
lkt	Lakota
lku	Kungkari
lky	Lokoya
lla	Lala-Roba
llb	Lolo
llc	Lele
lld	Ladin
lle	Lele
llf	Hermit
llg	Lole
llh	Lamu
lli	Teke-Laali
llj	Ladji Ladji
llk	Lelak
lll	Lilau
llm	Lasalimu
lln	Lele
llp	North Efate
llq	Lolak
lls	Lithuanian Sign Language
llu	Lau
llx	Lauan
lma	East Limba
lmb	Merei
lmc	Limilngan
lmd	Lumun
lme	Pévé
lmf	Painara
lmg	Lamogai
lmh	Mugali
lmi	Lombi
lmj	Labalekan-Mingar
lmk	Lamkang
lml	Hano
lmn	Lambadi
lmo	Lombard
lmp	Limbum
lmq	Lamatuka
lmr	Lamalera
lmu	Lamenu
lmv	Lomaiviti
lmw	Lake Miwok
lmx	Laimbue
lmy	Lamboya
lna	Langbashe
lnb	Mbalanhu
lnd	Lundayeh
lnh	Lanoh
lni	Daantanai’
lnj	Leningitij
lnl	South Central Banda
lnm	Pondi
lnn	Lorediakarkar
lns	Lamnsoʼ
lnu	Longuda
lnw	Lanima
lnz	Lonzo
loa	Loloda
lob	Lobi
loc	Inonhan
loe	Saluan
lof	Logol
log	Logo
loh	Laarim
loi	Loma
loj	Lou
lok	Loko
lol	Mongo-Nkundu
lom	Loma
lon	Malawi Lomwe
loo	Lombo
lop	Lopa
loq	Lobala
lor	Téén
los	Loniu
lot	Otuho
lou	Louisiana Creole
lov	Lopi
low	Tampias Lobu
lox	Loun
loy	Lhowa
loz	Lozi
lpa	Lelepa
lpe	Lepki
lpn	Long Phuri Naga
lpo	Lipo
lpx	Lopit
lqr	Logir
lra	Rara Bakati’
lrc	Northern Luri
lre	Laurentian
lrg	Laragia
lri	Olumarachi
lrk	Loarki
lrl	Lari
lrm	Olumarama
lrn	Lorang
lro	Laro
lrr	Southern Yamphu
lrt	Larantuka Malay
lrv	Larevat
lrz	Lemerig
lsa	Lasgerdi
lsb	Burundian Sign Language
lsc	Albarradas Sign Language
lsd	Lishana Deni
lse	Lusengo
lsh	Lish
lsi	Lacid
lsl	Latvian Sign Language
lsm	Saamya-Gwe
lsn	Tibetan Sign Language
lso	Laos Sign Language
lsp	Panamanian Sign Language
lsr	Aruop
lss	Lasi
lst	Trinidad and Tobago Sign Language
lsv	Sivia Sign Language
lsw	Seychelles Sign Language
lsy	Mauritian Sign Language
ltg	Latgalian
lth	Thur
lti	Leti
ltn	Latundê
lto	Olutsotso
lts	Lutachoni
ltu	Latu
ltz	Luxembourgish
lua	Luba-Kasai
lub	Luba-Katanga
luc	Aringa
lud	Ludian
lue	Luvale
luf	Laua
lug	Ganda
lui	Luiseño
luj	Luna
luk	Lunanakha
lul	Olu’bo
lum	Luimbi
lun	Lunda
luo	Luo
lup	Lumbu
luq	Lucumi
lur	Loura
lus	Mizo Chin
lut	Lushootseed
luu	Chhathare Yakkha
luv	Luwati
luw	Kasabe
luz	Southern Luri
lva	Makuva
lvi	Lavi
lvk	Lavukaleve
lvl	Lwel
lvs	Standard Latvian
lvu	Levuka
lwa	Lwalu
lwe	Lewoeleng
lwg	Oluwanga
lwh	White Lachi
lwl	Eastern Lawa
lwm	Laomian
lwo	Luwo
lws	Malawian Sign Language
lwt	Lewotobi
lwu	Lawu
lww	Lewo
lxm	Lakurumau
lya	Layakha
lyg	Lyngngam
lyn	Luyana
lzh	Classical Chinese
lzl	Litzlitz
lzn	Lainong Naga
lzz	Laz
maa	San Jerónimo Tecóatl Mazatec
mab	Yutanduchi Mixtec
mad	Madura
mae	Bo-Rukul
maf	Mafa
mag	Magahi
mah	Marshallese
mai	Maithili
maj	Jalapa de Díaz Mazatec
mak	Makasar
mal	Malayalam
mam	Mam
maq	Chiquihuitlán Mazatec
mar	Marathi
mas	Maasai
mat	San Francisco Matlatzinca
mau	Huautla Mazatec
mav	Sateré-Mawé
maw	Mampruli
max	North Moluccan Malay
maz	Central Mazahua
mba	Higaonon
mbb	Western Bukidnon Manobo
mbc	Macushi
mbd	Dibabawon Manobo
mbe	Molale
mbf	Baba Malay
mbh	Mangseng
mbi	Ilianen Manobo
mbj	Nadëb
mbk	Malol
mbl	Maxakalí
mbm	Ombamba
mbn	Macaguán
mbo	Mbo
mbp	Sanka
mbq	Maisin
mbr	Nukak Makú
mbs	Sarangani Manobo
mbt	Matigsalug Manobo
mbu	Mbula-Bwazza
mbv	Mbulungish
mbw	Maring
mbx	Mari
mby	Memoni
mbz	Amoltepec Mixtec
mca	Maka
mcb	Matsigenka
mcc	Bitur
mcd	Sharanahua
mce	Itundujia Mixtec
mcf	Matses
mcg	Mapoyo
mch	Maquiritari
mci	Mesem
mcj	Mvanip
mck	Mbunda
mcl	Macaguaje
mcm	Malaccan Portuguese Creole
mcn	Masana
mco	Coatlán Mixe
mcp	Makaa
mcq	Ese
mcr	Menya
mcs	Mambai
mct	Mengisa
mcu	Cameroon Mambila
mcv	Minanibai
mcw	Mawa
mcx	Mpiemo
mcy	South Kodut
mcz	Mawan
mda	Mada
mdb	Morigi
mdc	Soq
mdd	Mbum
mde	Maba
mdf	Moksha
mdg	Massalat
mdh	Maguindanaon
mdi	Mamvu
mdj	Mangbetu
mdk	Mangbutu
mdl	Maltese Sign Language
mdm	Mayogo
mdn	Mbati
mdp	Mbala
mdq	Mbole
mdr	Mandar
mds	Maria
mdt	Mbere
mdu	Mboko
mdv	Santa Lucía Monteverde Mixtec
mdw	Mbosi
mdx	Dizin
mdy	Male
mdz	Suruí do Pará
mea	Menka
meb	Ikobi
mec	Marra
med	Melpa
mee	Mengen
mef	Megam
meh	Southwestern Tlaxiaco Mixtec
mei	Midob
mej	Meyah
mek	Mekeo
mel	Central Melanau
mem	Mangala
men	Mende
meo	Satun Malay
mep	Miriwoong
meq	Merey
mer	Kimîîru
mes	Masmaje
met	Mato
meu	Motu
mev	Maan
mew	Maaka
mey	Hassaniyya
mez	Menominee
mfa	Pattani Malay
mfb	Bangka
mfc	Mba
mfd	Mendankwe-Nkwen
mfe	Morisyen
mff	Naki
mfg	Mogofin
mfh	Matal
mfi	Wandala
mfj	Mefele
mfk	North Mofu
mfl	Putai
mfm	Marghi South
mfn	Cross River Mbembe
mfo	Mbe
mfp	Makassar Indonesian
mfq	Moba
mfr	Marrithiyel
mfs	Mexican Sign Language
mft	Idio
mfu	Mbwela
mfv	Mandjak
mfw	Mulaha
mfx	Melo
mfy	Mayo
mfz	Mabaan
mgb	Mararit
mgc	Morokodo
mgd	Moru
mge	Mango
mgf	Maklew
mgg	Mpumpong
mgh	Makhuwa-Meetto
mgi	Migili
mgj	Abureni
mgk	Mawes
mgl	Maleu-Kilenge
mgm	Mambae
mgn	Mbangi
mgo	Meta’
mgp	Eastern Magar
mgq	Malila
mgr	Mambwe-Lungu
mgs	Manda
mgt	Mwakai
mgu	Magi
mgv	Matengo
mgw	Matumbi
mgy	Mbunga
mgz	Mbugwe
mha	Manda
mhb	Mahongwe
mhc	Mocho
mhd	Mbugu
mhe	Mah Meri
mhf	Doloman
mhg	Margu
mhi	Ma’di
mhj	Mogholi
mhk	Mungaka
mhl	Mauwake
mhm	Makhuwa-Moniga
mhn	Mòcheno
mho	Mashi
mhp	Balinese Malay
mhq	Mandan
mhr	Meadow Mari
mhs	Buru
mht	Mandahuaca
mhu	Digaro-Mishmi
mhw	Mbukushu
mhx	Lhao Vo
mhy	Ma’anyan
mhz	Mor
mia	Miami
mib	Atatlahuca Mixtec
mic	Mi’kmaq
mid	Neo-Mandaic
mie	Ocotepec Mixtec
mif	Mofu-Gudur
mig	San Miguel el Grande Mixtec
mih	Chayuco Mixtec
mii	Chigmecatitlán Mixtec
mij	Mungbam
mik	Mikasuki
mil	Peñoles Mixtec
mim	Alacatlatzala Mixtec
min	Minangkabau
mio	Pinotepa Nacional Mixtec
mip	Apasco-Apoala Mixtec
miq	Mískito
mir	Isthmus Mixe
mit	Southern Puebla Mixtec
miu	Cacaloxtepec Mixtec
miw	Akoye
mix	Mixtepec Mixtec
miy	Ayutla Mixtec
miz	Coatzospan Mixtec
mjb	Makalero
mjc	San Juan Colorado Mixtec
mjd	Northwest Maidu
mje	Muskum
mjg	Tu
mjh	Mwera
mji	Kim Mun
mjj	Mawak
mjk	Matukar Panau
mjl	Mandeali
mjm	Medebur
mjn	Ma
mjo	Malankuravan
mjp	Malapandaram
mjq	Malaryan
mjr	Malavedan
mjs	Miship
mjt	Sauria Paharia
mju	Manna-Dora
mjv	Mannan
mjw	Karbi
mjx	Mahali
mjy	Mahican
mjz	Majhi
mka	Mbre
mkb	Mal Paharia
mkc	Siliput
mkd	Macedonian
mke	Mawchi
mkf	Vune mi
mkg	Mak
mki	Dhatki
mkj	Mokilese
mkk	Byep
mkl	Mokole
mkm	Moklen
mkn	Kupang Malay
mko	Mingang Doso
mkp	Moikodi
mkq	Bay Miwok
mkr	Manep
mks	Silacayoapan Mixtec
mkt	Vamale
mku	Konyanka
mkv	Mafea
mkw	Kituba
mkx	Kinamiging Manobo
mky	East Makian
mkz	Makasae
mla	Malo
mlb	Mbule
mlc	Cao Lan
mle	Manambu
mlf	Mal
mlh	Mape
mli	Malimpung
mlj	Miltu
mlk	Kiwilwana
mll	Malua Bay
mlm	Mulam
mln	Malango
mlo	Mlomp
mlp	Bargam
mlq	Western Maninkakan
mlr	Vame
mls	Masalit
mlt	Maltese
mlu	To’abaita
mlv	Mwotlap
mlw	Moloko
mlx	Na’ahai
mlz	Malaynon
mma	Mama
mmb	Momina
mmc	Michoacán Mazahua
mmd	Maonan
mme	Mae
mmf	Mindat
mmg	North Ambrym
mmh	Mehináku
mmi	Hember Avu
mmj	Majhwar
mmk	Mukha-Dora
mml	Man Met
mmm	Maii
mmn	Minamanwa
mmo	Mangga Buang
mmp	Siawi
mmq	Aisi
mmr	Western Xiangxi Miao
mmt	Mala
mmu	Numala
mmv	Miriti
mmw	Emae
mmx	Madak
mmy	Migaama
mmz	Mabaale
mna	Mbula
mnb	Muna
mnc	Manchu
mnd	Mondé
mne	Naba
mnf	Mundani
mng	Eastern Mnong
mnh	Mono
mni	Meitei
mnj	Munji
mnk	Mandinka
mnl	Tiale
mnm	Mapena
mnn	Southern Mnong
mnp	Min Bei Chinese
mnq	Minriq
mnr	Mono
mns	Mansi
mnu	Mer
mnv	Rennell-Bellona
mnw	Mon
mnx	Sougb
mny	Manyawa
mnz	Moni
moa	Mwan
moc	Mocoví
mod	Mobilian
moe	Innu
mog	Mongondow
moh	Mohawk
moi	Mboi
moj	Monzombo
mok	Morori
mom	Mangue
moo	Monom
mop	Mopán Maya
moq	Mor
mor	Moro
mos	Moore
mot	Barí
mou	Mogum
mov	Mohave
mow	Moi
mox	Molima
moy	Shekkacho
moz	Mukulu
mpa	Mpoto
mpb	Malak Malak
mpc	Mangarrayi
mpd	Machinere
mpe	Majang
mpg	Marba
mph	Maung
mpi	Mpade
mpj	Martu Wangka
mpk	Mbara
mpl	Middle Kodut
mpm	Yosondúa Mixtec
mpn	Mindiri
mpo	Miu
mpp	Migabac
mpq	Matís
mpr	Vangunu
mps	Dadibi
mpt	Mian
mpu	Makuráp
mpv	Mungkip
mpw	Mapidian
mpx	Misima-Panaeati
mpy	Mapia
mpz	Mpi
mqa	Maba
mqb	Mbuko
mqc	Mangole
mqe	Matepi
mqf	Momuna
mqg	Kota Bangun Kutai Malay
mqh	Tlazoyaltepec Mixtec
mqi	Mariri
mqj	Mamasa
mqk	Rajah Kabunsuwan Manobo
mql	Mbelime
mqm	South Marquesan
mqn	Moronene
mqo	Modole
mqp	Manipa
mqq	Minokok
mqr	Mander
mqs	West Makian
mqt	Mok
mqu	Mandari
mqv	Mosimo
mqw	Murupi
mqx	Mamuju
mqy	Manggarai
mqz	Pano
mra	Mlabri
mrb	Marino
mrc	Maricopa
mrd	Western Magar
mre	Martha’s Vineyard Sign Language
mrf	Elseng
mrg	Mising
mrh	Mara
mri	Maori
mrj	Hill Mari
mrk	Hmwaveke
mrl	Mortlockese
mrm	Mwerlap
mrn	Cheke Holo
mro	Mru
mrp	Morouas
mrq	North Marquesan
mrr	Maria
mrs	Maragus
mrt	Marghi Central
mru	Mono
mrv	Mangareva
mrw	Maranao
mrx	Dineor
mry	Mandaya
mrz	Marind
msb	Masbatenyo
msc	Sankaran Maninka
msd	Yucatec Maya Sign Language
mse	Musey
msf	Mekwei
msg	Moraid
msh	Masikoro Malagasy
msi	Sabah Malay
msj	Ma
msk	Mansaka
msl	Molof
msm	Agusan Manobo
msn	Vurës
mso	Mombum
msp	Maritsauá
msq	Caac
msr	Mongolian Sign Language
mss	West Masela
msu	Musom
msv	Maslam
msw	Mansoanka
msx	Moresada
msy	Aruamu
msz	Momare
mta	Cotabato Manobo
mtb	Anyin Morofo
mtc	Munit
mtd	Mualang
mte	Mono
mtf	Murik
mtg	Una
mth	Munggui
mti	Maiwa
mtj	Moskona
mtk	Mbo’
mtl	Tehl
mtm	Mator
mtn	Matagalpa
mto	Totontepec Mixe
mtp	Weenhayek
mtq	Muong
mtr	Mewari
mts	Yora
mtt	Mota
mtu	Tututepec Mixtec
mtv	Asaro’o
mtw	Southern Binukidnon
mtx	Tidaá Mixtec
mty	Nabi
mua	Mundang
mub	Mubi
muc	Ajumbu
mud	Mednyj Aleut
mue	Media Lengua
mug	Musgu
muh	Mündü
mui	Musi
muj	Mabire
muk	Mugom-Karmarong
